,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
80339,SERA2,CHRA5,Chaetochloa rariflora (Mikan ex Trin.) Hitchc. & Chase,,
25117,CYKI,,Cyrtandra ×kipahuluensis H. St. John (pro sp.),cyrtandra,Gesneriaceae
23207,CRFUN,ORNI,Oreocarya nitida Greene,,
77507,SAMYD,,Samyda Jacq.,samyda,Flacourtiaceae
91177,VICAR,,Viola canadensis L. var. rugulosa (Greene) C.L. Hitchc.,creepingroot violet,Violaceae
6457,ARPA5,ARNEK2,Arctostaphylos nevadensis A. Gray ssp. knightii (Gankin & W. Hildreth) P.V. Wells,,
70880,PSILU,,Psilurus Trin.,,Poaceae
68978,POMA14,,Polygonella macrophylla Small,largeleaf jointweed,Polygonaceae
59158,OLCH2,,Olearia cheesmanii Cockayne & Allan,daisy bush,Asteraceae
82961,SPMA3,,Spigelia marilandica (L.) L.,woodland pinkroot,Loganiaceae
71973,PYMU,KOMU2,Koellia mutica (Michx.) Kuntze,,
26592,DEFLM,LEFLM,Lerchenfeldia flexuosa (L.) Schur ssp. montana (L.) Tzvelev,,
81859,SOCH,SOCHK4,Sophora chrysophylla (Salisb.) Seem. var. kauensis Chock,,
91063,VIAM7,,Vicia amurensis Oett.,,Fabaceae
61635,PAPAP2,PAPA9,Parnassia parviflora DC.,,
11323,BRCA70,BRFL6,Brachythecium flexicaule Renauld & Cardot,,
71280,PSTEB3,,Psoroma tenue Henssen var. borealis Henssen,northern bowl lichen,Pannariaceae
24615,CYBR14,,Cynodon bradleyi Stent,cynodon,Poaceae
12720,CAAN14,,Camissonia andina (Nutt.) P.H. Raven,Blackfoot River evening primrose,Onagraceae
22052,CONSO2,,Consolea Lem.,pricklypear,Cactaceae
53398,MAMI9,,Mariosousa millefolia Seigler & Ebinger,milfoil wattle,Fabaceae
31282,ENDI,,Endolepis dioica (Nutt.) Standl.,Suckley's endolepis,Chenopodiaceae
87267,THWRW,,Thelypodium wrightii A. Gray ssp. wrightii,Wright's thelypody,Brassicaceae
18040,CHCA31,LECA50,Lepraria candelaris (L.) Fr.,,
69794,POSU14,,"Porpidia subsimplex (H. Magn.) ?, ined.?",porpidia lichen,Porpidiaceae
23470,CRME11,,Crataegus membranacea Sarg.,tissueleaf hawthorn,Rosaceae
76876,SAEX,SASEL,Salix sessilifolia Nutt. var. leucodendroides (Rowlee) C.K. Schneid.,,
24865,CYFL4,,Cyanea floribunda E. Wimm.,Degener's cyanea,Campanulaceae
33849,ERSTB,ERRAB,"Erigeron ramosus (Walter) Britton, Sterns & Poggenb. var. beyrichii (Fisch. & C.A. Mey.) A. Gray",,
47285,LEDE4,,Lechea deckertii Small,Deckert's pinweed,Cistaceae
41556,HEUN8,,Heliotropium undulatifolium Turrill,turnsole heliotrope,Boraginaceae
44758,IVAS,,Iva asperifolia Less.,Pensacola marsh elder,Asteraceae
7834,ASIN19,,Astrolepis integerrima (Hook.) Benham & Windham,hybrid cloakfern,Pteridaceae
12968,CABE3,CAUN8,Carex uncompahgre L. Kelso,,
61639,PAPAT,PAPAN2,Parnassia palustris L. ssp. neogaea (Fernald) Hultén,,
93046,ZIPAI,,Zizania palustris L. var. interior (Fassett) Dore,northern wildrice,Poaceae
82256,SOSE2,SOPT,Soliva pterosperma (Juss.) Less.,,
73513,RHCO9,,Rhizocarpon concentricum (Davies) Beltr.,concentric map lichen,Rhizocarpaceae
59764,OPSP4,ANSP6,Anthacanthus spinosus (Jacq.) Nees,,
68261,POCU2,,Poa curtifolia Scribn.,little mountain bluegrass,Poaceae
